"count","institution","collection","collection_link"
3323,"University of Nevada, Las Vegas,Wesley E. Niles Herbarium","Herbarium","https://www.idigbio.org/portal/collections/2251181d-fea9-4c62-95af-82f8e9d8a8b6"
3556,"University of Colorado Museum of Natural History","Ichthyology","https://www.idigbio.org/portal/collections/bfebfd12-5291-47a0-b16a-57290f1277fa"
3631,"Humboldt State University","Herbarium","https://www.idigbio.org/portal/collections/bfde9eb9-a4c2-46ba-92d4-aca30dd32239"
3635,"Hillsdale College","Herbarium","https://www.idigbio.org/portal/collections/5bc383bf-114d-4874-9412-244178fe5440"
3738,"University of Arizona","Herbarium","https://www.idigbio.org/portal/collections/fb2690cc-02d4-4dfb-a6fa-fe07559b19b0"
3769,"University of Oklahoma, Sam Noble Oklahoma State Museum of Natural History","Eggs","https://www.idigbio.org/portal/collections/1301bf15-4bae-4569-a0a0-5415a16ff7dc"
3789,"Bartlett Arboretum","Herbarium","https://www.idigbio.org/portal/collections/83a735ef-f148-4a1c-a548-21612548b11c"
3841,"Northern Illinois University","Herbarium","https://www.idigbio.org/portal/collections/9824e498-8acb-4a57-9b63-2eba0ecd9121"
3876,"Salem College","Herbarium","https://www.idigbio.org/portal/collections/c384e164-226b-4792-948d-0f17315e53f1"
3921,"University of Washington, Friday Harbor Laboratories","Herbarium","https://www.idigbio.org/portal/collections/2b6ffeb8-5054-4b4f-adbc-add7b96230ad"
3923,"Clemson University","Arthropods","https://www.idigbio.org/portal/collections/385a58a2-ed0d-11e4-b70a-002315492bbc"
3924,"University of Vermont, Zadock Thompson Zoological Collection-Invertebrates","Invertebrates","https://www.idigbio.org/portal/collections/013b0343-08e5-486a-9dcc-f45454536727"
3941,"University of Arkansas, University Museum","Mammals","https://www.idigbio.org/portal/collections/2995f059-fb79-44b2-a2ab-2bf9fe0f1b82"
3945,"Tall Timbers Research Station & Land Conservancy","Ornithology","https://www.idigbio.org/portal/collections/99f805a3-48c4-4913-89c1-9a8a411a5e1d"
3958,"New York State Museum","Mycology","https://www.idigbio.org/portal/collections/97872188-e182-4c58-a9f4-1e367364fa0a"
4047,"University of Texas at El Paso Biodiversity Collections","Invertebrates","https://www.idigbio.org/portal/collections/d9f59cf7-04d0-44de-8a3f-616eec97f4c7"
4241,"San Diego State University","Terrestrial Arthropods","https://www.idigbio.org/portal/collections/71d2ab10-f918-4163-8d2b-d9c1186cc583"
4266,"University of Arkansas, University Museum","Birds","https://www.idigbio.org/portal/collections/30b3da9c-aa21-42e8-a9db-3cf8d6dddbfa"
4336,"Grand Valley State University","Herbarium","https://www.idigbio.org/portal/collections/0467de28-b5d7-43e4-bc74-8e384d356d96"
4337,"University of Wisconsin-Stevens Point, Robert W. Freckmann Herbarium","Lichens","https://www.idigbio.org/portal/collections/1782185b-427d-4fc7-ab86-f71a0e981196"
4380,"Linfield College","Herbarium","https://www.idigbio.org/portal/collections/d96e6e19-935f-423f-a625-e30ca81e8424"
4601,"University of Wisconsin, Zoological Museum","Ichthyology","https://www.idigbio.org/portal/collections/68350de1-34bd-4c6d-87f9-6567fb9a8e2f"
4663,"University of Alaska Museum of the North","Herbarium","https://www.idigbio.org/portal/collections/08ce2f42-5009-4222-91eb-48e8f1522eda"
4685,"Campbell University","Herbarium","https://www.idigbio.org/portal/collections/044d5a80-cb0e-471c-b9b9-527c79bde430"
4750,"Archbold Biological Station","Herbarium","https://www.idigbio.org/portal/collections/69e9beb8-cf4d-4b8c-b0fb-b5edf01ea946"
4796,"University of Guam","Herbarium","https://www.idigbio.org/portal/collections/1d95772c-048c-11e5-b0ee-002315492bbc"
4862,"North Carolina State University, Larry F. Grand Mycological Herbarium","Fungi","https://www.idigbio.org/portal/collections/4d3d0319-4242-4e87-a2d5-b8a27008066e"
4932,"Ohio University, The Floyd Bartley Herbarium","Herbarium","https://www.idigbio.org/portal/collections/186567b2-0ea0-46e3-9267-712c20947c42"
4998,"Ohio State University, Museum of Biological Diversity","Tetrapods, Amphibians","https://www.idigbio.org/portal/collections/8a1d160d-7773-4ae6-8372-790facc17a9a"
5000,"Central Michigan University Museum of Cultural and Natural History","Bird","https://www.idigbio.org/portal/collections/bcf57731-e702-4b44-ac52-9a078bab7e42"
5002,"University of West Georgia","Herbarium","https://www.idigbio.org/portal/collections/65dc78f6-ceb0-4f35-93bb-3d17995a1e5d"
5045,"Patuxent Research Refuge - Maryland","Herbarium","https://www.idigbio.org/portal/collections/47ab203c-035e-49c4-a23f-a95e31a498f9"
5113,"Western Connecticut State University","Herbarium","https://www.idigbio.org/portal/collections/1404cea6-83c5-4df4-ad22-8dd655b2d425"
5170,"Eastern New Mexico University, Natural History Museum","Herbarium","https://www.idigbio.org/portal/collections/aebf73f8-4d04-4334-a2b6-54c2f9161cd1"
5290,"University of Mary Washington","Herbarium","https://www.idigbio.org/portal/collections/b229b74a-d728-40b5-a306-2bcccdb6d742"
5343,"Chicago Academy of Sciences","Mammals","https://www.idigbio.org/portal/collections/87869fe7-bc09-4c83-af2c-f5bff2fbba95"
5345,"State University of New York College at Cortland","Herbarium","https://www.idigbio.org/portal/collections/1998d8df-784e-4401-aac8-90cc6fa0b972"
5419,"Colgate University, George R. Cooley Herbarium","Herbarium","https://www.idigbio.org/portal/collections/32bdcfb5-6358-4588-8b03-2bc961534f01"
5419,"Texas Lutheran University","Herbarium","https://www.idigbio.org/portal/collections/4f8ca2e8-db2a-45b4-8254-b13f34cf3df0"
5483,"Bureau of Land Management, Medford District Office","Herbarium","https://www.idigbio.org/portal/collections/7656fb62-e60c-44b2-b1f7-091aca8964e3"
5613,"Bureau of Land Management, Boise District Office","Herbarium","https://www.idigbio.org/portal/collections/7707442d-34b6-4381-aade-7656b2255186"
5633,"Huntington University","Herbarium","https://www.idigbio.org/portal/collections/ae0c96cc-b528-498a-8fa9-2acab58ee250"
5689,"Pittsburg State University, Theodore M. Sperry Herbarium","Herbarium","https://www.idigbio.org/portal/collections/6ff5ead2-fd39-487e-b9f4-b33ac2c055a4"
5850,"University of Arkansas, University Museum","Fishes","https://www.idigbio.org/portal/collections/99ceb18e-ab43-4420-9d9c-b529e8c635c2"
5906,"Eastern Nevada Landscape Coalition","","https://www.idigbio.org/portal/collections/5ae8424c-6ce2-45b2-8e87-605ef8958587"
